Month,Gold
2017-04,1266.880
2017-05,1246.040
2017-06,1260.260
2017-07,1236.840
2017-08,1283.040
2017-09,1314.070
2017-10,1279.510
2017-11,1281.900
2017-12,1264.450
2018-01,1331.300
2018-02,1330.730
2018-03,1324.660
2018-04,1334.760
2018-05,1303.450
2018-06,1281.570
2018-07,1237.710
2018-08,1201.710
2018-09,1198.390
2018-10,1215.390
2018-11,1220.650
2018-12,1250.400
2019-01,1291.750
2019-02,1320.070
2019-03,1300.900
2019-04,1285.910
2019-05,1283.700
2019-06,1359.040
2019-07,1412.890
2019-08,1500.410
2019-09,1510.580
2019-10,1494.810
2019-11,1470.790
2019-12,1479.130
2020-01,1560.670
2020-02,1597.100
2020-03,1591.930
2020-04,1683.170
2020-05,1715.910
2020-06,1732.220
2020-07,1846.510
2020-08,1968.630
2020-09,1921.920
2020-10,1900.270
2020-11,1866.300
2020-12,1858.420
2021-01,1866.980
2021-02,1808.170
2021-03,1718.230
2021-04,1760.040
2021-05,1850.260
2021-06,1834.570
2021-07,1807.840
2021-08,1785.280
2021-09,1775.140
2021-10,1776.850
2021-11,1821.760
2021-12,1790.430
2022-01,1816.020
2022-02,1856.300
2022-03,1947.830
2022-04,1936.860
2022-05,1848.500
2022-06,1836.570
2022-07,1732.740
2022-08,1764.560
2022-09,1680.780
2022-10,1664.450
2022-11,1725.070
2022-12,1797.550
2023-01,1897.710
2023-02,1854.540
2023-03,1912.730
2023-04,1999.770
2023-05,1992.130
2023-06,1942.900
2023-07,1951.020
2023-08,1918.700
2023-09,1915.950
2023-10,1916.250
2023-11,1984.110
2023-12,2026.180
2024-01,2034.040
2024-02,2023.240
2024-03,2158.010
2024-04,2331.450
2024-05,2351.130
2024-06,2326.440
2024-07,2398.200
2024-08,2470.150
2024-09,2570.550
2024-10,2690.080
2024-11,2651.130
2024-12,2648.010
2025-01,2709.690
2025-02,2894.730
2025-03,2983.250
2025-04,3217.640
2025-05,3309.490
2025-06,3352.660
2025-07,3340.150
