Month,Gold,FedRate,inflation,Index
1970-02,34.990,8.98,6.42458,89.50
1970-03,35.090,7.76,6.09418,89.60
1970-04,35.620,8.10,6.06061,81.50
1970-05,35.950,7.95,6.04396,76.50
1970-06,35.420,7.61,6.01093,72.70
1970-07,35.320,7.21,5.70652,78.00
1970-08,35.380,6.62,5.69106,81.50
1970-09,36.190,6.29,5.66038,84.20
1970-10,37.520,6.20,5.63003,83.20
1970-11,37.440,5.60,5.60000,87.20
1970-12,37.440,4.90,5.57029,92.20
1971-01,37.880,4.14,5.27704,95.90
1971-02,38.740,3.72,4.72441,96.80
1971-03,38.870,3.71,4.43864,100.30
1971-04,39.010,4.16,4.15584,104.00
1971-05,40.520,4.63,4.40415,99.60
1971-06,40.100,4.91,4.38144,99.70
1971-07,40.950,5.31,4.37018,95.60
1971-08,42.710,5.57,4.35897,99.00
1971-09,42.030,5.55,4.08163,98.30
1971-10,42.500,5.20,3.80711,94.20
1971-11,42.860,4.91,3.53535,94.00
1971-12,43.480,4.14,3.26633,102.10
1972-01,45.750,3.51,3.25815,103.90
1972-02,48.260,3.30,3.75940,106.60
1972-03,48.330,3.83,3.50000,107.20
1972-04,49.030,4.17,3.49127,107.70
1972-05,54.620,4.27,3.22581,109.50
1972-06,62.090,4.46,2.96296,107.10
1972-07,65.660,4.55,2.95567,107.40
1972-08,67.030,4.81,2.94840,111.10
1972-09,65.460,4.87,3.18627,110.50
1972-10,64.860,5.05,3.17848,111.60
1972-11,62.910,5.06,3.41463,116.70
1972-12,63.910,5.33,3.40633,118.00
1973-01,65.140,5.94,3.64078,116.00
1973-02,74.200,6.58,3.86473,111.70
1973-03,84.370,7.09,4.83092,111.50
1973-04,90.500,7.12,5.30120,107.00
1973-05,101.960,7.84,5.52885,105.00
1973-06,120.120,8.49,5.99520,104.30
1973-07,120.170,10.40,5.74163,108.20
1973-08,106.760,10.50,7.39857,104.20
1973-09,102.970,10.78,7.36342,108.40
1973-10,100.080,10.01,8.05687,108.30
1973-11,94.920,10.03,8.25472,96.00
1973-12,106.720,9.95,8.94118,97.50
1974-01,129.190,9.65,9.60187,96.60
1974-02,150.130,8.97,10.00000,96.20
1974-03,168.420,9.35,10.13825,94.00
1974-04,172.240,10.51,10.06865,90.30
1974-05,163.270,11.31,10.70615,87.30
1974-06,154.100,11.93,10.85973,86.00
1974-07,142.980,12.92,11.53846,79.30
1974-08,154.640,12.01,10.88889,72.20
1974-09,151.750,11.34,11.94690,63.50
1974-10,158.780,10.06,11.84211,73.90
1974-11,181.660,9.45,12.20044,70.00
1974-12,183.780,8.53,12.09503,68.60
1975-01,176.270,7.13,11.75214,77.00
1975-02,179.600,6.24,11.20507,81.60
1975-03,178.160,5.54,10.46025,83.40
1975-04,169.840,5.49,10.18711,87.30
